acct_id,hq_id,company,userDomain,city,region,countryCode,revenue_mil_usd,total_employees,naic3,naic6,isISP,usageType,datesCount,domainsCount,hitsSum,pageViewsSum,uniqueViewsSum,clicks,clickDates,hits_iabCat_IAB_1,hits_iabCat_IAB_2,hits_iabCat_IAB_3,hits_iabCat_IAB_4,hits_iabCat_IAB_5,hits_iabCat_IAB_6,hits_iabCat_IAB_7,hits_iabCat_IAB_8,hits_iabCat_IAB_9,hits_iabCat_IAB_10,hits_iabCat_IAB_11,hits_iabCat_IAB_12,hits_iabCat_IAB_13,hits_iabCat_IAB_14,hits_iabCat_IAB_15,hits_iabCat_IAB_16,hits_iabCat_IAB_17,hits_iabCat_IAB_18,hits_iabCat_IAB_19,hits_iabCat_IAB_20,hits_iabCat_IAB_21,hits_iabCat_IAB_22,hits_iabCat_IAB_23,hits_iabCat_IAB_24,hits_iabCat_IAB_25,hits_iabCat_IAB_26
1-1000AUX,1-1000AUX,REDACTED,REDACTED,Chippewa Falls,Wisconsin,US,6.6806,64,423,423110,0,COM,5,5,9,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1
1-1000JEX,1-1000JEX,REDACTED,REDACTED,Madison,Wisconsin,US,2.9769,85,722,722513,0,COM,5,5,8,8,8,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1
1-1000KMO,1-1000KMO,REDACTED,REDACTED,Rochester,New York,US,24.9513,75,541,541810,0,COM,14,20,61,109,65,0,0,6,0,0,0,1,0,0,0,2,0,0,15,2,0,0,0,5,1,29,0,0,0,0,0,0,0
1-1000SPZ,1-15PE2WH,REDACTED,REDACTED,Moorpark,California,US,141.8804,775,333,333314,0,COM,25,34,88,263,111,0,0,6,1,0,6,0,0,0,0,2,2,0,24,5,3,2,0,5,1,18,0,6,7,0,0,0,0
1-1000ZOG,4-1ASE-1467,REDACTED,REDACTED,Las Vegas,Nevada,US,345.3451,20,531,531110,0,COM,14,11,41,128,70,0,0,3,16,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,3,0,0,1,0,10,0,0
1-10015GI,1-R518VX,REDACTED,REDACTED,Montgomery,Alabama,US,58.3366,265,332,332312,0,COM,1,1,3,3,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-100161R,1-100161R,REDACTED,REDACTED,Statesville,North Carolina,US,14.0138,55,339,339940,0,,17,22,115,146,128,0,0,19,0,0,0,0,0,2,0,1,1,0,41,3,0,0,0,0,2,37,0,0,9,0,0,0,0
1-10016TU,1-10016TU,REDACTED,REDACTED,Grand Rapids,Michigan,US,144.25,500,333,333249,0,COM,1,1,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-100182D,1-6FRI70,REDACTED,REDACTED,Folsom,California,US,2230.535,10000,541,541330,0,,4,5,7,19,19,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0
1-10018JW,1-10018JW,REDACTED,REDACTED,Iowa City,Iowa,US,11.9269,62,321,321214,0,COM,10,13,38,165,61,0,0,1,5,0,0,1,0,0,0,0,1,0,11,0,1,0,0,1,3,11,0,0,2,0,0,0,1
1-10018XI,1-10018XI,REDACTED,REDACTED,Mountain Lakes,New Jersey,US,1.6976,12,541,541512,0,COM,14,19,36,91,58,0,0,3,0,0,0,0,0,3,0,0,1,0,13,0,0,1,0,1,2,12,0,0,0,0,0,0,0
1-1001R3V,1-1001R3V,REDACTED,REDACTED,Kerrville,Texas,US,8.7779,63,423,423120,0,,16,66,281,514,366,0,0,31,13,1,0,0,0,44,0,8,0,0,70,11,0,3,0,5,4,62,0,2,20,0,3,0,4
1-1001SQZ,1-QVG-9336,REDACTED,REDACTED,Fountain Valley,California,US,59.82645,60,326,326199,0,COM,18,41,138,923,161,0,0,4,5,5,8,0,0,0,0,38,1,0,12,13,2,0,0,3,1,35,0,1,4,0,4,0,2
1-1001SQZ,1-QVG-9336,REDACTED,REDACTED,Fountain Valley,California,US,59.82645,60,326,326199,0,,7,20,30,84,35,0,0,4,0,0,1,0,0,0,0,2,2,0,6,2,1,0,0,1,0,11,0,0,0,0,0,0,0
1-1001SXT,1-1001SXT,REDACTED,REDACTED,Commerce,California,US,20.1067,60,424,424310,0,COM,2,3,4,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1001SXT,1-1001SXT,REDACTED,REDACTED,Los Angeles,California,US,20.1067,60,424,424310,0,COM,22,59,229,476,282,0,0,3,7,19,5,7,0,3,0,60,1,0,22,29,0,1,0,5,2,41,0,2,22,0,0,0,0
